========================================
POLYARB BOT v2 - PAPER TRADE
Bakiye: $300.0 | Esik: 3.0%
========================================
API OK: bcb0a8fa...
Binance baglaniyor...
Binance BAGLI!
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,002 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$67,001 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,999 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,989 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,988 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,987 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,985 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-49.9%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,983 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,982 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,981 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,980 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,977 | Up:0.00 Dn:1.00 | Edge:-49.9%
BTC:$66,976 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,976 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,976 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,976 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,976 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,976 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,976 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,974 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,974 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,974 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,973 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,971 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,970 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,968 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,968 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,968 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,968 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,968 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,968 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,968 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,966 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,964 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,964 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,964 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,964 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,964 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,964 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,962 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,961 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,961 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,960 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,959 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,957 | Up:0.00 Dn:1.00 | Edge:-49.9%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,954 | Up:0.00 Dn:1.00 | Edge:-49.9%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,956 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,954 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,954 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,954 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,952 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,951 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,951 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,951 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,951 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,951 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,951 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,951 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,950 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,948 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,948 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,946 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,946 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,946 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,946 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,946 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,946 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,944 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,942 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:-50.0%
BTC:$66,945 | Up:0.00 Dn:1.00 | Edge:-50.0%
